Start_DF1	End_DF1	Start_DF2	End_DF2	Overlap_Percentage_DF1	Overlap_Percentage_DF2	Strand_DF1	Strand_DF2	Feature_DF1	Feature_DF2	Tools_DF1	Tools_DF2
64791	65471	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
65509	66393	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
66890	67399	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
67492	68118	67564	68118	88.5167464114833	100	+	+	CDS	CDS	gms2, prodigal, prokka	glimmer
67492	68118	67621	68118	79.4258373205742	100	+	+	CDS	CDS	gms2, prodigal, prokka	rast
67564	68118	67621	68118	89.7297297297297	100	+	+	CDS	CDS	glimmer	rast
68147	69217	68147	69211	99.4397759103641	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
69246	70085	69267	70085	97.5	100	+	+	CDS	CDS	rast	glimmer, prodigal, prokka
69246	70085	70067	70234	2.26190476190476	11.3095238095238	+	+	CDS	CDS	rast	glimmer, rast
69246	70085	69354	70085	87.1428571428571	100	+	+	CDS	CDS	rast	gms2
69267	70085	70067	70234	2.31990231990232	11.3095238095238	+	+	CDS	CDS	glimmer, prodigal, prokka	glimmer, rast
69267	70085	69354	70085	89.3772893772894	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2
69354	70085	70067	70234	2.59562841530055	11.3095238095238	+	+	CDS	CDS	gms2	glimmer, rast
70350	71333	70350	71297	96.3414634146341	100	-	-	CDS	CDS	glimmer	prodigal, prokka, rast
70350	71357	70350	71297	94.0476190476191	100	-	-	CDS	CDS	gms2	prodigal, prokka, rast
70350	71357	70350	71333	97.6190476190476	100	-	-	CDS	CDS	gms2	glimmer
71428	72480	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
72638	73657	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
73723	75705	73723	75339	81.5431164901664	100	-	-	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
75965	77443	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
77513	79381	79378	80355	0.214018191546281	0.408997955010225	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
77513	79381	77528	79381	99.1974317817014	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
77528	79381	79378	80355	0.215749730312837	0.408997955010225	+	+	CDS	CDS	rast	gms2, glimmer, prodigal, prokka, rast
79378	80355	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
80369	81319	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
81454	82248	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
82307	83209	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
83445	84167	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
83445	84167	84157	84666	1.52143845089903	2.15686274509804	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
84157	84666	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
84783	85946	84795	85946	98.9690721649485	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
85961	87022	87012	88115	1.03578154425612	0.996376811594203	+	+	CDS	CDS	gms2	gms2, glimmer, prodigal, prokka, rast
85961	87022	85964	87022	99.7175141242938	100	+	+	CDS	CDS	gms2	glimmer, prodigal, prokka, rast
85964	87022	87012	88115	1.03871576959396	0.996376811594203	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
87012	88115	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
88117	89196	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
89320	90375	89476	90375	85.2272727272727	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
90382	91524	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
91627	92361	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
92556	93326	92556	93287	94.9416342412451	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
93419	94645	93419	94588	95.3545232273839	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
94674	95123	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
95315	96202	96189	97223	1.57657657657658	1.35265700483092	-	-	CDS	CDS	glimmer	gms2, glimmer, prodigal, prokka, rast
95315	96202	95315	96184	97.972972972973	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
96189	97223	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
97318	98427	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
98466	99164	98466	99095	90.1287553648069	100	-	-	CDS	CDS	rast	gms2
98466	99182	98466	99095	87.8661087866109	100	-	-	CDS	CDS	glimmer	gms2
98466	99182	98466	99164	97.489539748954	100	-	-	CDS	CDS	glimmer	rast
98466	99257	98466	99095	79.5454545454545	100	-	-	CDS	CDS	prodigal, prokka	gms2
98466	99257	98466	99182	90.530303030303	100	-	-	CDS	CDS	prodigal, prokka	glimmer
98466	99257	98466	99164	88.2575757575758	100	-	-	CDS	CDS	prodigal, prokka	rast
99512	100954	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
101127	102143	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
102188	103063	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
103283	104167	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
104309	105253	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
105341	106405	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
106838	107380	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
107562	108515	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
108568	110745	108892	110745	85.1239669421488	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
110856	112211	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
112548	113366	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
113626	115119	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
115343	116515	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
116678	118030	116690	118030	99.1130820399113	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
118036	119070	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
119083	120024	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
120242	121207	120242	120856	63.6645962732919	100	-	-	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
121411	122844	121597	122844	87.0292887029289	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
123062	123988	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
124632	125777	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
125806	127647	125806	126777	52.7687296416938	100	-	-	CDS	CDS	rast	gms2
125806	127659	125806	126777	52.4271844660194	100	-	-	CDS	CDS	prodigal, prokka	gms2
125806	127659	125806	127647	99.3527508090615	100	-	-	CDS	CDS	prodigal, prokka	rast
125806	127731	125806	127659	96.2616822429907	100	-	-	CDS	CDS	glimmer	prodigal, prokka
125806	127731	125806	126777	50.4672897196262	100	-	-	CDS	CDS	glimmer	gms2
125806	127731	125806	127647	95.6386292834891	100	-	-	CDS	CDS	glimmer	rast
128173	129144	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
129241	130932	129262	130932	98.758865248227	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
131426	131665	131483	131665	76.25	100	+	+	CDS	CDS	gms2	rast
132053	132178	NA	NA	0	0	+	NA	CDS	NA	gms2	NA
132563	132685	132665	132814	17.0731707317073	14	-	+	CDS	CDS	rast	glimmer, rast
133290	134555	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
134562	134984	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
135130	135447	135253	135447	61.3207547169811	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
135594	138260	135594	138164	96.400449943757	100	-	-	CDS	CDS	glimmer	gms2
135594	138410	135594	138164	91.2673056443025	100	-	-	CDS	CDS	prodigal, prokka, rast	gms2
135594	138410	135594	138260	94.6751863684771	100	-	-	CDS	CDS	prodigal, prokka, rast	glimmer
138903	139937	138903	139928	99.1304347826087	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
139943	141085	139943	141070	98.6876640419948	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
141733	142878	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
143947	144081	NA	NA	0	0	-	NA	CDS	NA	rast	NA
144287	145417	144299	145417	98.9389920424403	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
145525	148419	148409	149641	0.379965457685665	0.89213300892133	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka
145525	148419	146080	148419	80.8290155440415	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
146080	148419	148409	149641	0.47008547008547	0.89213300892133	+	+	CDS	CDS	gms2	gms2, glimmer, prodigal, prokka
148409	149641	148466	149641	95.3771289537713	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
149651	150718	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
150830	151612	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
151726	154575	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
154597	155334	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
155532	156647	155532	156635	98.9247311827957	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
156740	157774	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
157979	159229	157994	159229	98.8009592326139	100	+	+	CDS	CDS	prodigal, prokka	gms2, glimmer, rast
159492	163172	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
163179	163313	163300	163533	10.3703703703704	5.98290598290598	-	+	CDS	CDS	glimmer, rast	gms2, glimmer, prodigal, prokka, rast
163300	163533	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
163537	164151	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
164160	164564	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
164935	165966	165016	165966	92.1511627906977	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
166077	167270	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
167329	168675	167329	168588	93.5412026726058	100	-	-	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
168890	169744	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
169745	170506	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
170510	171793	170510	171742	96.0280373831776	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
171837	172907	171867	172907	97.1988795518207	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
173078	174304	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
174477	175451	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
175453	176571	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
175453	176571	176564	177493	0.714924039320822	0.860215053763441	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, prodigal, prokka, rast
175453	176571	176564	177499	0.714924039320822	0.854700854700855	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	glimmer
176564	177499	176564	177493	99.3589743589744	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
178098	179885	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
179992	180135	NA	NA	0	0	+	NA	CDS	NA	glimmer	NA
180157	181173	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
180157	181173	181170	181289	0.393313667649951	3.33333333333333	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	glimmer, rast
181315	184989	184986	186059	0.108843537414966	0.37243947858473	+	+	CDS	CDS	prodigal, prokka, rast	gms2, prodigal, prokka, rast
181315	184989	181396	184989	97.7959183673469	100	+	+	CDS	CDS	prodigal, prokka, rast	gms2, glimmer
181396	184989	184986	186059	0.111296605453534	0.37243947858473	+	+	CDS	CDS	gms2, glimmer	gms2, prodigal, prokka, rast
184986	186059	185352	186059	65.9217877094972	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
186068	187567	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
187674	188681	187686	188681	98.8095238095238	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
188818	190215	188872	190215	96.137339055794	100	+	+	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
190237	191352	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
191358	192533	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
191358	192533	192525	193361	0.76530612244898	1.0752688172043	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
192525	193361	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
193658	194713	193682	194713	97.7272727272727	100	+	+	CDS	CDS	glimmer, rast	gms2, prodigal, prokka
194750	195391	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
195411	195650	195411	195536	52.5	100	-	-	CDS	CDS	gms2, glimmer	rast
195411	195650	195567	195695	35	65.1162790697674	-	+	CDS	CDS	gms2, glimmer	rast
195411	195662	195411	195650	95.2380952380952	100	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer
195411	195662	195411	195536	50	100	-	-	CDS	CDS	prodigal, prokka	rast
195411	195662	195567	195695	38.0952380952381	74.4186046511628	-	+	CDS	CDS	prodigal, prokka	rast
195808	196086	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
196263	197150	196377	197150	87.1621621621622	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
197538	197912	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
198015	198806	198015	198758	93.9393939393939	100	-	-	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
198921	199574	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
199705	200352	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
200363	201460	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
201526	203520	201526	203493	98.6466165413534	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
203901	204326	203907	204326	98.5915492957746	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
204477	207380	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
207401	207808	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
207883	208794	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
208819	209265	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
208819	209265	209252	209803	3.13199105145414	2.53623188405797	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, rast
208819	209265	209252	209812	3.13199105145414	2.49554367201426	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	prodigal, prokka
209252	209812	209252	209803	98.3957219251337	100	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer, rast
209846	210880	209846	210871	99.1304347826087	100	-	-	CDS	CDS	prodigal, prokka, rast	gms2, glimmer
210925	212034	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
212048	212167	212151	212843	14.1666666666667	2.45310245310245	+	+	CDS	CDS	glimmer	gms2, glimmer, prodigal, prokka, rast
212151	212843	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
212847	214154	212907	214154	95.4128440366973	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
214259	214639	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
214761	215156	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
215203	217233	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
217289	218824	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
218922	219470	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
219725	220483	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
220638	221165	220737	221165	81.25	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
221183	222574	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
222658	223662	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
223700	224119	224109	224882	2.61904761904762	1.42118863049096	+	-	CDS	CDS	glimmer, prodigal, prokka	glimmer, prodigal, prokka
223700	224119	223712	224119	97.1428571428571	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
223700	224119	224109	224819	2.61904761904762	1.54711673699015	+	-	CDS	CDS	glimmer, prodigal, prokka	gms2
223700	224119	224109	224876	2.61904761904762	1.43229166666667	+	-	CDS	CDS	glimmer, prodigal, prokka	rast
223712	224119	224109	224882	2.69607843137255	1.42118863049096	+	-	CDS	CDS	gms2, rast	glimmer, prodigal, prokka
223712	224119	224109	224819	2.69607843137255	1.54711673699015	+	-	CDS	CDS	gms2, rast	gms2
223712	224119	224109	224876	2.69607843137255	1.43229166666667	+	-	CDS	CDS	gms2, rast	rast
224109	224876	224109	224819	92.578125	100	-	-	CDS	CDS	rast	gms2
224109	224876	224866	225030	1.43229166666667	6.66666666666667	-	-	CDS	CDS	rast	rast
224109	224882	224109	224819	91.8604651162791	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2
224109	224882	224109	224876	99.2248062015504	100	-	-	CDS	CDS	glimmer, prodigal, prokka	rast
224109	224882	224866	225030	2.19638242894057	10.3030303030303	-	-	CDS	CDS	glimmer, prodigal, prokka	rast
224866	225030	224900	225973	79.3939393939394	12.1973929236499	-	+	CDS	CDS	rast	gms2, glimmer, prodigal, prokka
224900	225973	225032	225973	87.7094972067039	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
225992	226564	225998	226564	98.9528795811518	100	+	+	CDS	CDS	glimmer	prodigal, prokka, rast
225992	226564	225995	226564	99.4764397905759	100	+	+	CDS	CDS	glimmer	gms2
225995	226564	225998	226564	99.4736842105263	100	+	+	CDS	CDS	gms2	prodigal, prokka, rast
